,wm_prod_code,prod_detail_type_code,prod_ccy,prod_risk_code,can_rcmd_ind,prod_name
1879,2603,FNDD,TWD,RR3,1,元大全球ＥＴＦ穩健組合基金
1885,FE32,FNDF,USD,RR4,0,富蘭克林坦伯頓全球投資生技領航基金美元Ｆ（ＡＣＣ）股
1888,AA11,FNDF,EUR,RR4,1,富達義大利基金
1889,AAC5,FNDF,USD,RR4,1,富達歐元藍籌基金美元避險
1891,AG23,FNDF,USD,RR5,1,貝萊德世界黃金基金美元
1892,AG54,FNDF,USD,RR2,0,貝萊德美國政府房貸債券基金美元配現
1893,AGA8,FNDF,USD,RR3,1,貝萊德全球股票收益基金Ａ６美元穩定配息
1895,CCE5,FNDF,USD,RR3,1,摩根－ＪＰＭ環球靈活策略股票（Ａ股分派）基金
1897,QQ48,FNDF,USD,RR5,1,瑞銀（盧森堡）全球新興市場精選股票基金（美元）
1903,2511,FNDD,TWD,RR4,1,安聯全球人口趨勢基金
1904,2807,FNDD,TWD,RR3,1,富蘭克林華美積極回報債券組合基金累積型
1905,3004,FNDD,TWD,RR5,1,元大亞太成長基金
1906,3025,FNDD,TWD,RR3,0,元全球靈活配置債券組合基金
1912,AH61,FNDF,SGD,RR3,1,新加坡大華全球保健基金星幣
1916,7446,FNDD,TWD,RR3,0,瀚亞策略印度傘型基金之印度策略收益債券基金Ｓ類型－新臺幣
1920,AA52,FNDF,EUR,RR4,1,富達南歐基金
1921,AA85,FNDF,USD,RR4,0,富達亞洲高收益基金Ａ股月配
1922,AP07,FNDF,USD,RR2,1,ＮＮ（Ｌ）投資級公司債基金Ｘ股美元
1923,AR12,FNDF,AUD,RR4,1,ＮＢ美國房地產基金Ｔ股累積澳幣
1924,BB35,FNDF,USD,RR5,1,安聯中國股票基金－Ａ配息類股（美元）
1925,BB42,FNDF,EUR,RR5,1,安聯亞太高息股票基金－Ａ配息類股（歐元）
1926,BB56,FNDF,USD,RR3,1,安聯亞洲靈活債券基金－ＡＭ穩定月收類股（美元）
1928,CC78,FNDF,EUR,RR3,1,摩根－ＪＰＭ新興市場債券歐元對沖（Ａ股每月派息）基金
1932,NN55,FNDF,NZD,RR3,1,聯博全球高收益債券基金ＡＴ股紐幣避險
1933,NN82,FNDF,ZAR,RR3,1,聯博新興市場債券基金ＡＡ月配南非幣避險
1934,NN85,FNDF,ZAR,RR3,1,聯博房貸收益基金ＡＡ月配南非幣避險
1937,VV11,FNDF,USD,RR3,1,駿利亨德森靈活入息基金Ａ１美元
1939,2036,FNDD,TWD,RR2,1,國泰智富傘型基金之ＥＴＦ安鑫組合基金－臺幣Ａ類型（不配息）
1941,2157,FNDD,TWD,RR4,1,野村新興收益傘型基金之邊境市場高收益主權債基金（月配新臺幣）
1942,2314,FNDD,TWD,RR4,1,柏瑞新興市場高收益債券基金Ｂ類型
1945,3205,FNDD,TWD,RR5,1,永豐亞洲民生消費基金
1946,3311,FNDD,TWD,RR5,1,群益華夏盛世基金
1947,4614,FNDD,ZAR,RR4,1,瀚亞亞太豐收平衡基金Ｂ－南非幣
1957,AG10,FNDF,EUR,RR4,1,貝萊德歐洲基金歐元
1958,AGA5,FNDF,USD,RR4,1,貝萊德營養科學基金Ａ２美元
1961,AO30,FNDF,USD,RR3,1,ＰＩＭＣＯ新興市場債券基金Ｍ級月收息強化股份
1963,AR03,FNDF,USD,RR3,1,ＮＢ高收益債券基金Ｔ股累積美元
1964,AR04,FNDF,USD,RR3,1,ＮＢ高收益債券基金Ｔ股月配美元
1965,BP36,FNDF,ZAR,RR3,0,ＮＮ（Ｌ）新興市場債券基金Ｙ股對沖級別南非幣（月配息）
1966,CC92,FNDF,USD,RR3,1,摩根－ＪＰＭ新興市場本地貨幣債券美元（Ａ股累計）基金
1967,KK64,FNDF,USD,RR5,1,富蘭克林坦伯頓全球投資新興國家基金
1968,NN05,FNDF,USD,RR4,1,聯博美國成長基金Ａ股美元
1969,1412,FNDD,TWD,RR3,1,摩根平衡基金
1972,1618,FNDD,TWD,RR4,1,第一金中概平衡基金
1973,2023,FNDD,TWD,RR3,0,國策略高收益債券基金不配息
1976,2616,FNDD,TWD,RR5,1,元大大中華價值指數基金
1978,3026,FNDD,TWD,RR3,0,元全球靈活配置債券組合基金季配
1981,4011,FNDD,TWD,RR5,1,聯博亞太多重資產基金－Ａ２類型新臺幣
1982,4014,FNDD,TWD,RR4,1,聯博歐洲多重資產基金－ＡＤ類型新臺幣
1986,TF51,FNDF,USD,RR3,0,鋒匯理Ⅱ－新興市場債券ＴＸＤ美元
1988,7429,FNDD,TWD,RR3,0,瀚亞全球高收益債券基金Ｓ類型－新臺幣
1994,AI55,FNDF,NZD,RR5,0,瀚亞中國股票基金紐幣避險穩定月配
1997,AK07,FNDF,USD,RR4,1,駿利亨德森遠見泛歐地產股票基金美元避險
2001,JJ18,FNDF,USD,RR3,1,富蘭克林坦伯頓外國基金
2002,NN43,FNDF,AUD,RR3,1,聯博美國收益基金ＡＴ股澳幣避險
2003,NN54,FNDF,AUD,RR5,1,聯博亞洲股票基金ＡＤ股澳幣避險
2007,PP62,FNDF,USD,RR3,1,施羅德環球環球高收益（美元）Ａ１－累積基金
2009,VV36,FNDF,EUR,RR3,1,駿利亨德森平衡基金Ａ股歐元入息
2010,1305,FNDD,TWD,RR4,1,保德信金平衡基金
2014,1924,FNDD,TWD,RR3,1,匯豐資源豐富國家債券基金不配息
2015,2513,FNDD,TWD,RR4,1,安聯台灣智慧基金
2016,2811,FNDD,TWD,RR5,1,富蘭克林華美中國消費基金
2017,3302,FNDD,TWD,RR4,1,群益馬拉松基金
2018,3328,FNDD,TWD,RR4,1,群益全球不動產平衡基金Ｂ類型季配
2021,5801,FNDD,CNY,RR3,1,聯博多元資產收益組合基金Ａ２類型人民幣
2030,AGD6,FNDF,AUD,RR4,1,貝萊德環球小型企業基金ＨＥＤＧＥＤＡ２澳幣
2035,CCD9,FNDF,EUR,RR3,1,摩根投資－ＪＰＭ策略總報酬歐元（Ａ股累計）基金
2039,KK08,FNDF,USD,RR2,1,富蘭克林坦伯頓全球投資全球債券美元基金
2041,MM04,FNDF,EUR,RR4,1,安聯歐洲基金－Ａ配息類股（歐元）
2043,NN29,FNDF,EUR,RR3,1,聯博全球高收益債券基金ＡＴ股歐元
2044,NN72,FNDF,EUR,RR3,1,聯博歐洲收益基金ＡＡ穩定月配歐元
2048,SS01,FNDF,JPY,RR5,1,柏瑞環球日本小型公司股票基金Ａ３
2051,1448,FNDD,TWD,RR3,1,摩根環球股票收益基金累積型
2052,2029,FNDD,TWD,RR4,1,國泰亞太入息平衡基金不配息
2053,2105,FNDD,TWD,RR4,1,野村全球品牌基金
2056,4829,FNDD,USD,RR3,1,富蘭克林華美退休傘型基金之目標２０２７組合基金－美元
2058,AF06,FNDF,EUR,RR5,0,鋒匯理Ⅱ－新興歐洲及地中海股票Ａ２歐元
2061,AA22,FNDF,JPY,RR4,1,富達日本小型企業基金
2062,AA39,FNDF,USD,RR5,1,富達新興市場基金
2069,AN01,FNDF,USD,RR4,1,ＤＷＳ投資全球神農基金
2070,AQ06,FNDF,USD,RR4,0,美盛凱利美國積極成長基金
2075,GG40,FNDF,EUR,RR5,0,安本標準東歐股票基金Ａ累積歐元
2077,NN71,FNDF,AUD,RR3,1,聯博歐洲收益基金ＡＡ穩定月配澳幣避險
2078,NN93,FNDF,ZAR,RR5,0,聯博中國時機基金ＡＤ月配南非幣避險
2081,PP86,FNDF,USD,RR3,1,施羅德環球環球股息基金（美元）ＡＸ－月配固定基金
2084,1107,FNDD,TWD,RR4,1,日盛新台商基金
2086,1324,FNDD,TWD,RR5,1,保德信拉丁美洲基金
2087,2014,FNDD,TWD,RR4,1,國泰全球基礎建設基金
2088,2312,FNDD,TWD,RR3,1,柏瑞全球策略高收益債券基金Ｂ類型
2091,2428,FNDD,TWD,RR3,1,瀚亞全球高收益債券基金Ａ類型累積
2092,2531,FNDD,TWD,RR5,1,安聯台灣科技基金
2093,3314,FNDD,TWD,RR4,1,群益葛萊美基金
2096,4613,FNDD,ZAR,RR4,1,瀚亞亞太豐收平衡基金Ａ－南非幣
2099,5506,FNDD,USD,RR3,1,景順全天候智慧組合基金月配美元
2101,5901,FNDD,CNY,RR3,1,柏瑞中國平衡基金Ａ類型人民幣
2102,5918,FNDD,USD,RR3,1,柏瑞全球策略高收益債券基金Ｂ類型美元
2110,9105,FNDD,AUD,RR3,0,路博邁收益成長多重資產基金Ｎ累積（澳幣）
2112,AAB2,FNDF,USD,RR3,1,富達全球健康護理基金美元累積
2117,AG61,FNDF,USD,RR5,1,貝萊德亞洲巨龍基金Ａ２美元
2122,AP12,FNDF,EUR,RR4,1,ＮＮ（Ｌ）原物料基金Ｘ股歐元
2123,AP26,FNDF,JPY,RR4,1,ＮＮ（Ｌ）日本股票基金Ｘ股日圓
2126,CCD2,FNDF,AUD,RR3,1,摩根投資－ＪＰＭ多重收益澳幣對沖（Ａ股累計）基金
2128,NN68,FNDF,USD,RR3,1,聯博新興市場債券基金ＡＡ穩定月配美元
2131,1102,FNDD,TWD,RR5,1,日盛小而美基金
2132,1419,FNDD,TWD,RR4,1,摩根絕對日本基金
2133,2118,FNDD,TWD,RR5,1,野村新馬基金
2136,2810,FNDD,TWD,RR4,1,富蘭克林華美新興趨勢傘型之天然資源組合基金
2144,AGD8,FNDF,ZAR,RR5,1,貝萊德亞太股票收益基金Ａ８月配息南非幣避險
2145,6109,FNDD,CNY,RR3,1,貝萊德全方位資產收益組合基金月配人民幣
2148,7103,FNDD,CNY,RR3,1,路博邁收益成長多重資產基金Ｔ累積（人民幣）
2152,AJ22,FNDF,USD,RR3,0,瀚Ｍ＆Ｇ收益優化基金Ａ－Ｈ（美元避險月配）
2153,CCD6,FNDF,USD,RR4,1,摩根投資－ＪＰＭ歐洲策略股息美元對沖（Ａ股每月派息）基金
2154,EE21,FNDF,USD,RR5,0,景順亞洲機遇股票基金Ｃ股美元
2155,GG31,FNDF,JPY,RR4,0,安本標準日本股票基金Ａ累積日圓
2157,OB24,FNDF,USD,RR4,0,法巴美國價值多元因子股票基金Ｃ（美元）
2158,OB25,FNDF,USD,RR4,0,法巴全球金融股票基金Ｃ（美元）
2162,UU20,FNDF,USD,RR3,0,天利盧森堡新興市場債券基金美配
2165,1447,FNDD,TWD,RR4,1,摩根中國雙息平衡基金月配息型
2170,2821,FNDD,TWD,RR3,1,富蘭克林華美多重資產收益基金新臺幣累積型
2171,2907,FNDD,TWD,RR5,1,復華華人世紀基金
2174,UF61,FNDF,USD,RR5,0,鋒匯理Ⅱ－中國股票Ｕ２美元
2179,AW03,FNDF,USD,RR3,1,野村愛爾蘭美國高收益債券基金（Ｔ美元類股）
2182,7002,FNDD,TWD,RR3,1,路博邁收益成長多重資產基金Ｔ月配（新臺幣）
2184,AC19,FNDF,ZAR,RR3,1,天達環球策略環球策略管理基金南非幣避險月配Ｃ收益
2189,AG35,FNDF,USD,RR3,1,貝萊德亞洲老虎債券基金美元
2190,AGA7,FNDF,USD,RR2,1,貝萊德環球企業債券基金Ａ６美元穩定配息
2192,AO06,FNDF,USD,RR2,1,ＰＩＭＣＯ全球投資級別債券基金Ｅ級類別收息股
2193,AO11,FNDF,USD,RR3,1,ＰＩＭＣＯ多元收益債券基金Ｅ級類別收息股
2194,AR17,FNDF,ZAR,RR4,1,ＮＢ美國房地產基金Ｔ股累積南非幣
2197,CC90,FNDF,USD,RR4,1,摩根－ＪＰＭ環球天然資源美元（Ａ股累計）基金
2198,CCA1,FNDF,USD,RR3,1,摩根投資－ＪＰＭ多重收益美元對沖（Ａ股每季派息）基金
2199,KK46,FNDF,USD,RR3,1,富蘭克林坦伯頓全球投資互利全球領航基金美元
2200,KK73,FNDF,EUR,RR3,1,富蘭克林坦伯頓全球投資全球債券總報酬基金歐元年配Ａ
2201,KK74,FNDF,AUD,RR3,1,富蘭克林坦伯頓全球投資全球債券總報酬基金澳幣月配Ｈ１
2203,KKA3,FNDF,USD,RR3,1,富蘭克林坦伯頓全球投資吉富世界基金美元Ａ（ＡＣＣ）股
2204,NN46,FNDF,EUR,RR4,1,聯博歐元區股票基金Ａ股歐元
2205,PP88,FNDF,AUD,RR3,1,施羅德環球環球股息基金（澳幣避險）Ａ－月配固定（Ｃ）基金
2206,QQ32,FNDF,JPY,RR4,0,瑞銀（盧森堡）日本股票基金（日幣）
2207,1215,FNDD,TWD,RR3,1,統一全球債券組合基金
2210,1321,FNDD,TWD,RR4,1,保德信全球基礎建設基金
2213,2015,FNDD,TWD,RR4,1,國泰國泰基金
2217,3910,FNDD,ZAR,RR4,1,復華新興市場高收益債券基金配息南非幣
2218,4008,FNDD,TWD,RR3,1,聯博債券收益組合基金配息型
2219,4719,FNDD,CNY,RR3,1,野村環球基金人民幣
2220,4908,FNDD,CNY,RR1,0,群益人民幣貨幣市場基金人民幣
2221,1206,FNDD,TWD,RR5,1,統一中小基金
2233,AA18,FNDF,USD,RR2,1,富達美元債券基金
2235,AA76,FNDF,USD,RR4,1,富達美國多元基金
2236,AAB6,FNDF,USD,RR3,1,富達新興市場債基金Ｆ１美元穩定月配息
2240,AI34,FNDF,USD,RR3,1,瀚亞美國高收益債券基金美元穩定月配
2244,CCA6,FNDF,AUD,RR3,1,摩根投資－ＪＰＭ環球高收益債券澳幣對沖（Ａ股利率入息）基金
2245,JJ20,FNDF,USD,RR4,1,富蘭克林坦伯頓中小型公司成長基金
2246,KK02,FNDF,USD,RR4,1,富蘭克林坦伯頓全球投資中小型企業基金
2247,MM17,FNDF,EUR,RR4,1,安聯全球生物科技基金－Ａ配息類股（歐元）
2248,PP32,FNDF,EUR,RR5,1,施羅德環球新興歐洲（歐元）Ａ１－累積基金
2249,VV15,FNDF,USD,RR2,1,駿利亨德森美國短期債券基金Ａ１美元
2251,1430,FNDD,TWD,RR5,1,摩根中國亮點基金
2254,2726,FNDD,TWD,RR5,1,台新中証消費服務領先指數基金
2256,2732,FNDD,TWD,RR4,1,台新智慧生活基金
2258,3304,FNDD,TWD,RR5,1,群益店頭市場基金
2262,CC54,FNDF,USD,RR5,1,摩根亞洲小型企業基金
2263,AT13,FNDF,EUR,RR4,1,百達生物科技Ｒ歐元
2266,UF32,FNDF,USD,RR2,0,鋒匯理Ⅱ－策略收益Ｕ２美元
2267,6102,FNDD,USD,RR4,1,貝萊德亞洲高收益債券基金月配美元
2270,ED90,FNDF,USD,RR4,0,聯博美國成長基金ＥＤ月配美元
2272,AA87,FNDF,EUR,RR3,1,富達新興市場債券基金歐元月配
2273,AA98,FNDF,USD,RR2,1,富達全球債券基金累積
2274,AAD2,FNDF,USD,RR4,1,富達日本潛力優勢基金美元避險
2277,AG73,FNDF,EUR,RR4,1,貝萊德環球小型企業基金歐元
2278,AH64,FNDF,SGD,RR5,1,新加坡大華泛華基金星幣
2279,AI43,FNDF,USD,RR4,1,瀚亞亞洲股票收益基金美元穩定月配
2282,BB15,FNDF,USD,RR4,1,安聯日本股票基金－Ａ配息類股（美元）
2295,1449,FNDD,TWD,RR3,1,摩根環球股票收益基金月配息型
2296,1923,FNDD,TWD,RR5,1,匯豐黃金及礦業股票型基金
2298,2626,FNDD,TWD,RR4,1,元大中國平衡基金
2301,2805,FNDD,TWD,RR5,1,富蘭克林華美中華基金
2302,2832,FNDD,TWD,RR3,1,富蘭克林華美特別股收益基金新臺幣累積型
2303,2940,FNDD,TWD,RR4,1,復華傳家基金
2304,3505,FNDD,TWD,RR5,1,德信台灣主流中小基金
2305,4935,FNDD,USD,RR3,1,群益全球特別股收益基金美元配息
